Team Name,Case Name,Case ID,Query Text,Doc ID,Title,Rating,release_date
,LTR w/ES,3036,Horror movies,11037,Iron Eagle,,1986-01-17
,LTR w/ES,3036,Horror movies,276843,What We Did on Our Holiday,,2014-09-26
,LTR w/ES,3036,Horror movies,9024,For Love or Money,,1993-10-01
,LTR w/ES,3036,Horror movies,6472,Guarding Tess,,1994-03-11
,LTR w/ES,3036,Horror movies,31007,Welcome to the Rileys,,2010-10-29
,LTR w/ES,3036,Horror movies,252838,The Wedding Ringer,,2015-01-16
,LTR w/ES,3036,Horror movies,9304,Multiplicity,,1996-07-19
,LTR w/ES,3036,Horror movies,43309,The Gamma People,,1956-12-01
,LTR w/ES,3036,Horror movies,18785,The Hangover,,2009-06-05
,LTR w/ES,3036,Horror movies,23168,The Town,,2010-09-15
,LTR w/ES,3036,Mary poppins,11037,Iron Eagle,,1986-01-17
,LTR w/ES,3036,Mary poppins,276843,What We Did on Our Holiday,,2014-09-26
,LTR w/ES,3036,Mary poppins,9024,For Love or Money,,1993-10-01
,LTR w/ES,3036,Mary poppins,6472,Guarding Tess,,1994-03-11
,LTR w/ES,3036,Mary poppins,31007,Welcome to the Rileys,,2010-10-29
,LTR w/ES,3036,Mary poppins,252838,The Wedding Ringer,,2015-01-16
,LTR w/ES,3036,Mary poppins,9304,Multiplicity,,1996-07-19
,LTR w/ES,3036,Mary poppins,43309,The Gamma People,,1956-12-01
,LTR w/ES,3036,Mary poppins,18785,The Hangover,,2009-06-05
,LTR w/ES,3036,Mary poppins,23168,The Town,,2010-09-15
,LTR w/ES,3036,It follows,11037,Iron Eagle,,1986-01-17
,LTR w/ES,3036,It follows,276843,What We Did on Our Holiday,,2014-09-26
,LTR w/ES,3036,It follows,9024,For Love or Money,,1993-10-01
,LTR w/ES,3036,It follows,6472,Guarding Tess,,1994-03-11
,LTR w/ES,3036,It follows,31007,Welcome to the Rileys,,2010-10-29
,LTR w/ES,3036,It follows,252838,The Wedding Ringer,,2015-01-16
,LTR w/ES,3036,It follows,9304,Multiplicity,,1996-07-19
,LTR w/ES,3036,It follows,43309,The Gamma People,,1956-12-01
,LTR w/ES,3036,It follows,18785,The Hangover,,2009-06-05
,LTR w/ES,3036,It follows,23168,The Town,,2010-09-15
